Episode,Error
0,0
1,0
2,0
3,0
4,0
5,0
6,1806.8
7,2852.4
8,2770.4
9,2884.6
10,2810.4
11,2782.4
12,2778.7
13,2781.6
14,2726
15,2796.3
16,2790.2
17,2778.2
18,2857.2
19,2825.6
20,2837.3
21,2830.1
22,2862.4
23,2852
24,2760.3
25,2761.1
26,2736.5
27,2774.1
28,2804.9
29,2791.6
30,2837.1
31,2799.4
32,2814.8
33,2875.4
34,2838.5
35,2890.9
36,2740.9
37,2786.6
38,2839.6
39,2775.9
40,2893.6
41,2759.5
42,2815.1
43,2891.6
44,2860.8
45,2923.8
46,2752.8
47,2769.6
48,2880.8
49,2746.2
50,2915
51,2845.4
52,2842.6
53,2808.1
54,2829.6
55,2849.8
56,2750.9
57,2850.3
58,2847.5
59,2793
60,2812.7
61,2749.8
62,2878
63,2894.9
64,2807.9
65,2906.7
66,2835.5
67,2777.6
68,2868.7
69,2772.9
70,2855.6
71,2882
72,2858.8
73,2749.6
74,2901.5
75,2833.2
76,2804.6
77,2689.5
78,2896.2
79,2823.8
80,2777
81,2817.5
82,2815.6
83,2936.8
84,2844.3
85,2842.9
86,2874.9
87,2775.5
88,2864.3
89,2777.7
90,2909.4
91,2809.2
92,2807.3
93,2689.2
94,2891
95,2844.8
96,2764.8
97,2800.2
98,2870.6
99,2842
100,2821.2
101,2851
102,2836.1
103,2735.3
104,2816.8
105,2760
106,2875.8
107,2873.6
108,2780.8
109,2795.9
110,2826.1
111,2850.9
112,2903.1
113,2950.3
114,2885.4
115,2829
116,2881.2
117,2903
118,2922.2
119,2877.2
120,2779.6
121,2775.5
122,2798.5
123,2849.5
124,2859.3
125,2831.9
126,2922.8
127,2839.4
128,2848.1
129,2852.6
130,2834.8
131,2859.9
132,2788
133,2844
134,2857.6
135,2713.6
136,2871
137,2891.3
138,2816.2
139,2818.9
140,2860.8
141,2842.9
142,2861.9
143,2905.9
144,2805.6
145,2834.7
146,2853.4
147,2796.1
148,2803
149,2817.9
150,2861.7
151,2776.9
152,2801.4
153,2838.4
154,2828.9
155,2766.2
156,2896.3
157,2845.3
158,2827
159,2904
160,2764.4
161,2841.2
162,2779.8
163,2914.1
164,2709.7
165,2920.9
166,2797.7
167,2826.5
168,2854.4
169,2844.2
170,2841.6
171,2809.2
172,2771
173,2803.4
174,2891.6
175,2866.4
176,2833.1
177,2787.8
178,2870.4
179,2897.7
180,2913.3
181,2778.2
182,2797.3
183,2831
184,2886.9
185,2847.1
186,2879.3
187,2812.2
188,2883.2
189,2883.2
190,2893.8
191,2808.5
192,2843.6
193,2834.9
194,2895.7
195,2836.9
196,2835.5
197,2807.5
198,2884
199,2891.4
200,2835.8
201,2890.5
202,2862.7
203,2877.3
204,2821.9
205,2953.7
206,2792.1
207,2817.9
208,2909.1
209,2800.9
210,2832.5
211,2849.8
212,2856.5
213,2940
214,2840.9
215,2908.3
216,2846.7
217,2709.9
218,2864.9
219,2823.7
220,2782.4
221,2839.2
222,2856.6
223,2809.5
224,2884.5
225,2778.1
226,2851.8
227,2819.5
228,2891.5
229,2870.9
230,2775.3
231,2817.9
232,2831.4
233,2847.4
234,2949.5
235,2845.5
236,2853.9
237,2851.9
238,2868.5
239,2846.3
240,2798.7
241,2887.3
242,2801.8
243,2847.2
244,2905.4
245,2795.6
246,2903.3
247,2880.1
248,2854.2
249,2824.7
250,2869.5
251,2795.1
252,2784.3
253,2885
254,2883.8
255,2801.7
256,2789.5
257,2755.4
258,2863.2
259,2907.3
260,2804.7
261,2878.3
262,2870.8
263,2902.1
264,2923.9
265,2871.4
